depmap_id,log_copy_number,entrez_id,gene_name,cell_line_name,primary_disease,lineage,lineage_subtype,hover.string
ACH-001414,0.9695233660109248,1017,CDK2,UM-UC-6,Bladder Cancer,urinary_tract,bladder_carcinoma,</br><b>Cell Line:</b> UM-UC-6</br><b>log2(Copy Number):</b> 0.970</br><b>Lineage:</b> urinary_tract</br><b>Disease:</b> Bladder Cancer
ACH-001031,1.033789146972211,1017,CDK2,CHLA-266,Rhabdoid,soft_tissue,ATRT,</br><b>Cell Line:</b> CHLA-266</br><b>log2(Copy Number):</b> 1.034</br><b>Lineage:</b> soft_tissue</br><b>Disease:</b> Rhabdoid
ACH-000258,1.0338295618868074,1017,CDK2,Du4475,Breast Cancer,breast,breast_carcinoma,</br><b>Cell Line:</b> Du4475</br><b>log2(Copy Number):</b> 1.034</br><b>Lineage:</b> breast</br><b>Disease:</b> Breast Cancer
ACH-000978,1.0116310098979084,1017,CDK2,EN,Endometrial/Uterine Cancer,uterus,endometrial_adenocarcinoma,</br><b>Cell Line:</b> EN</br><b>log2(Copy Number):</b> 1.012</br><b>Lineage:</b> uterus</br><b>Disease:</b> Endometrial/Uterine Cancer
ACH-000799,0.87688445128866,1017,CDK2,Hs 695T,Skin Cancer,skin,melanoma,</br><b>Cell Line:</b> Hs 695T</br><b>log2(Copy Number):</b> 0.877</br><b>Lineage:</b> skin</br><b>Disease:</b> Skin Cancer
ACH-000650,0.7852750075277122,1017,CDK2,IGR-37,Skin Cancer,skin,melanoma,</br><b>Cell Line:</b> IGR-37</br><b>log2(Copy Number):</b> 0.785</br><b>Lineage:</b> skin</br><b>Disease:</b> Skin Cancer
ACH-000245,0.9819370123379308,1017,CDK2,BL-41,Lymphoma,lymphocyte,non_hodgkin_lymphoma,</br><b>Cell Line:</b> BL-41</br><b>log2(Copy Number):</b> 0.982</br><b>Lineage:</b> lymphocyte</br><b>Disease:</b> Lymphoma
ACH-000513,1.010541231237875,1017,CDK2,SNU-1272,Kidney Cancer,kidney,renal_cell_carcinoma,</br><b>Cell Line:</b> SNU-1272</br><b>log2(Copy Number):</b> 1.011</br><b>Lineage:</b> kidney</br><b>Disease:</b> Kidney Cancer
ACH-000781,1.042195567995719,1017,CDK2,NCI-H2023,Lung Cancer,lung,NSCLC,</br><b>Cell Line:</b> NCI-H2023</br><b>log2(Copy Number):</b> 1.042</br><b>Lineage:</b> lung</br><b>Disease:</b> Lung Cancer
ACH-000768,0.8810677722985172,1017,CDK2,MDA-MB-231,Breast Cancer,breast,breast_carcinoma,</br><b>Cell Line:</b> MDA-MB-231</br><b>log2(Copy Number):</b> 0.881</br><b>Lineage:</b> breast</br><b>Disease:</b> Breast Cancer
ACH-000315,1.016058894169925,1017,CDK2,KARPAS-422,Lymphoma,lymphocyte,non_hodgkin_lymphoma,</br><b>Cell Line:</b> KARPAS-422</br><b>log2(Copy Number):</b> 1.016</br><b>Lineage:</b> lymphocyte</br><b>Disease:</b> Lymphoma
